psraid,sample,segment,int_date,lang,comp,version,stz,scregion,sstate,susr,stimes,filtera,filterb,filterc.1,filterc.2,llitext0,qs1,q1,q2,qp1,sex,qm1,qm2,q2x,qp1a,chage1,chsex,chage2,chage3,chage4,chage5,qp2,q3,q4,qe3,q7,q8,q12,q15,q21a,q21b,q21c,q21d,q21e,q22,q23a,q23b,q23c,q23d,q23e,q24,q29a,q29b,q29c,q29d,q30,q31,q33,q34,q35a,q35b,q35c,q35d,q35e,qe5,q40,q41am1,q41am2,q41am3,q41c,q42m1,q42m2,q42m3,q42m4,q43,q44a,q44b,q44c,q49a,q49b,q49c,q49d,q49e,q50,q52,q54a,q54b,q54c,q54d,q54e,q54f,q54g,q54h,q57,q58,q62,q63,q65a,q65b,q65c,q67a,q67b,q68a,q68b,q68c,q68d,q68e,q7486ord,q74a,q74b,q74c,q77,q79,q80,q81a,q81b,q81c,q86a,q86b,q86c,q86d,q86e,q86f,q86g,q90,q92a,q92b,q93,q94a,q94b,q94c,age,qm3,fam3a,fam3b,fam3c,educ2,hisp,race3m1,race3m2,race3m3,race3m4,birth_hisp,relig,chr,born,attend,q95,q96,income,party,partyln,ideo,hh1,hh3,ownrent,ql1,ql1a,qc1,raceos,religos,origraceos,usr,cregion,state,density,partysum,partyideo,child,recage,racethn,racethn2,racecmb,recage2,iphoneuse,hphoneuse,adults,parents,kids,ll,cp,wt1,utweight,weight
201082,2,2,92115,1,1,4,E,2,26,,2, ,3, , , ,2,3,1,1,1,1, ,3,2, , ,0,0,2,2,3,2,3,2,3,1,2,1,1, ,2,1,1,3,1,2,1,1,1,3,2,2,3,3,5,3,2,1,1,3,1,3,1,1,3,1,5, ,1, , , , , ,10,7,12,1,2,1,4,4,3,1,2,2,2,2,2,1,4,2, ,4,1,2,1,2,2,3,2,3, ,1,4,1, , , , , , , , , , ,1,1,1,2,2,1,1,1,1,1,2,1,1,1,41, , ,1, ,5,2,1, , , , ,1, ,1,1,2,2,4,3,1,2,4,2,3, , ,2,,,,R,2,26,1,1,3,2,4,1,1,1,2,3,3,2,2,2,0,1,1.534390825668926,1.66,6.384615384615384
201094,2,2,92115,1,1,4,E,1,36,,2, , ,2,3, ,2,2,1,1,1,1, ,2,3, , ,2,1,0,1,3,2,1,1,1,2,2,2,1, ,2,2,2,3,2,2,1,2,1,2,3,3,2,3,2,3,1,3,2,2,2,2,2,1,1,1, , ,1,3, , , , ,14,12,16,1,4,2,4,4,2,3,1,1,2,2,2,1,1,2,4,1,1,1,1,2,1,4,2,3,3,3,4,1,1,1,1,1,2,2, , , , , , , , , , , , , , , , , , ,40, , , ,1,6,2,1, , , , ,5, , ,5,3,1,9,1, ,3,5,2,1, , ,1,,,,S,1,36,5,1,2,3,4,1,1,1,2,2,2,2,2,3,1,1,0.683796174408227,0.49,1.8846153846153846
201099,2,2,92815,2,1,4,E,1,34,,8, ,3, , , ,2,1,3,1,1,1, ,2,4, , ,0,2,2,2,3,2,3,1,4,1,3,1,1, ,1,1,1,2,2,2,2,4,1,1,1,2,4,4,1,3,2,3,3,3,3,3,2,2,2,1,6, ,1, , , , , ,16,98,16,1,2,2,4,2,3,3,1,1,1,1,1,1,1,1, ,4,2,2,1,1,1,2,3,3, ,2,3,1, , , , , , , , , , ,1,1,1,2,1,1,2,1,2,1,2,1,1,1,41, , , ,2,3,1,7, , , ,3,2, ,2,4,2,1,3,2, ,3,7,3,1, , ,1,,,,S,1,34,5,2,4,4,4,3,4,5,2,2,2,3,2,3,1,1,0.683796174408227,0.65,2.5
201124,2,2,92715,1,1,4,C,3,48,,2, ,2, , , ,2,1,2,1,1,2,1,3,1,17,2, , , ,0,1,1,2,1,9,1,2,2,1, ,1,3,3,1,2,1,2,1,1,1,1,1,3,4,2,3,3,3,3,3,3,3,3,3,4,1, , ,3, , , , , ,15,15,15,2,2,4,4,4,3,3,2,1,2,2,2,2,2,1, ,2,2,1,3,3,1,3,4,4, ,2,4,4, , , , , , , , , , ,1,1,1,1,2,1,1,1,1,2,2,2,1,1,49, ,2, , ,4,2,1, , , , ,13, ,2,3, , ,7,1, ,1,3,3,1, , ,2,,,,R,3,48,1,1,1,0,5,1,1,1,2,3,3,3,2,1,0,1,1.534390825668926,1.52,5.846153846153846
201126,2,2,92715,1,1,4,C,2,29,,2, , ,1,4, ,2,4,1,1,1,2,2,2,3, , ,1,2,0,2,3,2,4,3,3,1,2,1,2, ,3,3,3,3,2,1,2,1,2,1,2,2,3,3,2,3, , ,1,3,3,1,2,2,2,1, , ,1, , , , ,1,13,10,14,1,2,2,4,4,2,9,2,2,2,2,1,2,2,2,3,4,2,1,1,3,1,1,1,1,1,1,3,1,2, , , , , , , , , ,2,1,2,1,2,1, ,1,1,1,9,1,1,1,30, , , ,2,5,2,1,2,3, , ,12, , ,5, , ,3,4,9,9,5,2,2, , ,2,,,,S,2,29,4,9,9,3,2,4,5,4,2,3,3,2,2,3,0,1,1.534390825668926,1.34,5.153846153846154
201137,2,2,92715,1,1,4,C,2,55,,3, , , , , ,2,1,2,1,1,1, ,3,1,99,1, , , ,0,3,1,1,1,1,2,3,2,1, ,2,2,1,2,1,1,1,1,1,4,1,1,4,4,3, ,4,3,3,2,1,3,2,3, , , , , , , , , , ,97,4,8,3,4,3,4,4,4, ,2,2,2,2,2,2,2,2, , ,9, ,1,2,2,4,2,3, ,3,3,1,1, , , , , , , , , , , , , , , , , , , , , , , ,28, ,1, , ,4,2,1, , , , ,12, , ,6, , ,6,4,1,9,3,2,1, , ,2,,,,R,2,55,2,1,9,1,1,1,1,1,1,3,3,2,2,1,0,1,1.534390825668926,1.5,5.769230769230769
201156,2,2,92715,1,1,4,C,2,31,,2, ,1, , , ,2,1,1,1,2,1, ,2,1,15,1, , , ,0,1,2,2,1,2,1,2,1,1, ,1,1,1,1,1,1,1,1,1,3,2,2,2,2,3,3,2,1,1,1,1,2,1,1,1,1, , ,1, , , , , ,10,8,12,1,1,2,4,4,3,3,1,2,2,2,1,1,1,2, ,4,2,1,2,2,1,1,4,2, ,2,4,1, , , , , , , , , , ,2,2,1,2,1,2,1, ,1,2,1,1,1,1,47, ,2, , ,5,2,1, , , , ,1, ,2,3,1,3,6,1, ,1,3,2,1, , ,2,,,,R,2,31,1,1,1,1,5,1,1,1,2,3,3,2,2,1,0,1,1.534390825668926,1.54,5.923076923076923
201179,2,2,92715,1,1,4,P,4,6,,2,3, , , , ,2,2,2,1,1,1, ,3,2, , ,2,0,0,0,3,1,2,1,3,1,3,1,1, ,1,1,1,2,1,1,1,1,1,1,1,1,4,4,1, ,4,3,2,2,1,2,2,2, , , , , ,2,1, , , ,14,14,16,1,2,3,4,2,3, ,1,1,1,1,1,1,2,1,3, ,1, ,1,1,1,4,1,2,2,2,3,1, ,2,1,1,4,1,2,1,2,1, , , , , , , , , , , , , , ,37, , ,2, ,8,2,2, , , , ,12, , ,5,1,1,9,3,2,3,3,2,2, , ,1,,,,S,4,6,5,2,3,1,3,2,2,2,2,2,2,2,2,2,1,1,0.683796174408227,0.61,2.346153846153846
201195,2,2,92715,1,1,4,P,4,6,,3, ,3, , , ,2,1,3,1,1,2,1,3,2, , ,0,0,2,2,3,2,3,2,3,2,2,2,1, ,3,3,3,2,1,1,1,2,1,1,1,1,3,3,2,3,4,3,2,3,3,2,2,1,1,5, , , , , , , , ,12,8,14,3,2,2,4,4,2,3,1,2,2,2,1,2,2,2, ,2,2,1,1,1,2,2,4,3, ,3,3,2, , , , , , , , , , ,2,1,1,2,2,1,2,2,1,1,1,2,2,2,41, , ,3, ,3,1,1, , , ,1,2, ,2,5,3,2,4,3,1,3,3,2,2, , ,2,,,,S,4,6,3,1,3,1,4,3,3,1,2,3,3,2,2,2,0,1,1.534390825668926,1.94,7.461538461538461
201196,2,2,92715,1,1,4,P,4,6,,2, ,1, , , ,2,1,2,1,2,1, ,2,1,8,1, , , ,0,3,2,1,1,1,2,2,1,2, ,3,3,3,2,1,1,1,3,1,3,1,3,3,3,1,3,2,3,3,3,3,3,3,1,2,6, , , , , , , , ,14,10,15,1,3,3,3,3,3,1,3,2,2,2,2,3,2,1, ,3,2,1,1,2,1,3,2,3, ,1,4,1, , , , , , , , , , ,1,1,2,2,2,1, ,2,2,2, ,1,2,2,45, ,1, , ,6,2,8, , , , ,2, ,2,4,3,3,9,3,9,9,3,2,1, , ,2,,,,U,4,6,5,9,3,1,5,9,9,9,2,3,3,2,2,1,0,1,1.534390825668926,1.41,5.4230769230769225
201214,2,2,92815,1,1,4,E,2,26,,2, , ,1,4, ,2,2,1,1,1,1, ,2,3, , ,1,1,1,2,3,2,3,2,4,1,2,1,1, ,1,2,2,1,1,1,1,1,1,3,1,2,2,3,2,3,2,1,3,1,1,2,1,1,2,1, , ,1,2, , , , ,11,8,13,2,3,3,4,4,4,3,1,3,1,2,1,2,2,2,4,3,2,1,1,2,2,2,2,2,1,2,4,1,2, , , , , , , , , ,2,1,2,1,2,1,1,2,1,1,1,1,2,2,40, , , ,2,5,2,1, , , , ,1, ,2,5,2,2,6,2, ,3,5,2,1, , ,1,,,,U,2,26,5,2,4,3,4,1,1,1,2,2,2,2,2,3,1,1,0.683796174408227,0.6,2.3076923076923075
201217,2,2,92815,1,1,4,E,2,26,,2, ,3, , , ,2,2,3,1,2,6, , ,2, , ,0,2,0,2,3,1,3,3,2,2,1,1, ,9,1,2,1,1,2,2,1,3,1,1,2,1,3,1,2,2, , ,1,1,1,1, , ,3,1, , ,1, , , , , ,14,14,14, ,1,2,3,2,1,1,1,3,1,1,1,4,4,1, ,3,1,2,1,1,1,1,3,2, ,2,4,1, , , , , , , , , , ,2,2,2,1,1,2, , ,1,1,1,1,1,2,34,3, , , ,3,2,1, , , , ,12, , ,3, , ,1,3,1,3,3,1,2, , ,2,,,,S,2,26,2,1,3,2,2,1,1,1,2,3,3,1,1,2,0,1,1.534390825668926,1.62,6.230769230769231
201240,2,2,92815,1,1,4,P,4,41,,2,3, , , , ,2,2,2,1,2,1, ,3,2, , ,2,0,0,0,3,2,1,3,2,2,3,1,1, ,1,1,1,2,1,2,1,3,1,3,2,2,2,1,2, , , ,1,1,1,3,1,1, , , , , , , , , ,2,8,5,8,1,1,2,1,2,2, ,2,1,2,2,1,1,1,2,2, ,1, ,1,2,1,2,2,2,1,2,3,1, ,2,2,1,1,2, , , , , , , , , , , , , , , , , , ,30, , ,1, ,6,2,1, , , , ,3, ,2,2, , ,6,1, ,3,4,2,2, , ,2,,,,U,4,49,4,1,2,2,2,1,1,1,2,3,3,2,2,2,0,1,1.534390825668926,1.81,6.961538461538462
201248,2,2,92815,2,1,4,M,4,4,,3, ,3, , , ,2,2,2,1,1,1, ,3,7, , ,0,2,5,2,3,2,3,1,3,2,3,2,1, ,4,3,2,1,1,1,1,2,1,1,2,1,3,3,1,3,3,1,2,3,3,3,3,2,2,2, , , , , , , , ,14,10,18,2,3,4,4,3,2,3,2,2,2,1,2,2,2,2, ,2,2,1,9,3,2,1,9,3, ,2,3,3, , , , , , , , , , ,1,1,2,2,2,2,2,2,1,1,2,2,1,2,37, , , ,2,1,1,7, , , ,9,2, ,2,5,3,1,3,4,2,4,6,2,2, , ,2,,,,U,4,4,3,2,9,4,3,3,3,5,2,3,3,2,2,3,0,1,1.534390825668926,0.98,3.769230769230769
201292,2,2,93015,1,1,5,E,1,42,,3, , ,1,4, ,2,2,2,1,2,6, , ,3, , ,1,2,0,2,3,1,1,2,1,1,1,1, ,3,1,1,1,1,1,1,1,1,1,2,1,1,3,3,1,3,3,2,1,1,1,1, , ,2,5, , , ,2, , , , ,12,10,15, ,2,3,4,4,3,3,2,2,1,1,2,2,2,2,1,1,2,1,1,2,1,4,3,1,1,1,2,1,1,2,2,1,3,1,2,2,1,2, , , , , , , , , , , , , , ,30,2, , , ,6,2,2, , , , ,13, ,2,2, , ,3,2, ,3,4,1,2, , ,2,,,,U,1,42,3,2,4,3,2,2,2,2,2,3,3,1,1,3,0,1,1.534390825668926,0.92,3.5384615384615383
201330,2,2,92815,2,1,4,E,2,18,,2, , ,1,4, ,2,2,1,1,1,2,2,2,5, , ,1,4,0,2,3,3,2,1,2,1,3,1,1, ,1,1,1,1,1,1,1,3,1,1,1,1,3,3,1,3,4,3,3,2,3,3,3,1,2,6, , , ,9, , , , ,18,18,18,1,3,3,2,4,3,3,1,1,1,1,1,1,1,1,3,3,2,1,1,1,1,1,9,3,4,3,4,2,1,2,2,9,9,9, , , , , , , , , , , , , , , , , , ,35, , , ,2,2,1,9, , , ,2,2, ,2,4,3,3,2,3,9,2,7,3,3, , ,2,,,,U,2,18,5,9,3,4,3,3,3,9,2,3,3,3,2,3,0,1,1.534390825668926,0.84,3.2307692307692304
201351,2,2,92815,1,1,4,E,3,51,,1, , ,1,4, ,2,3,1,1,1,1, ,2,4, , ,1,3,0,2,3,2,1,1,3,2,2,1,1, ,1,1,3,3,1,1,1,2,1,4,3,3,3,3,1,3,2,1,3,2,1,3,3,3,2,1, , ,1, , , , ,3,12,7,14,4,2,3,4,4,3,1,1,1,2,2,1,1,1,1,1,3,2,1,1,2,1,2,4,2,2,2,3,1,2, , , , , , , , , ,1,1,1,1,1,1, ,2,1,1,2,1,2,1,41, , , ,1,5,2,1, , , , ,1, ,2,4, , ,8,3,1,3,5,2,1, , ,1,,,,U,3,37,4,1,3,3,4,1,1,1,2,2,2,2,2,3,1,1,0.683796174408227,0.73,2.8076923076923075
201368,2,2,92815,1,1,4,E,3,37,,1, ,3, , , ,2,2,1,1,2,1, ,3,2, , ,0,1,1,2,3,2,2,1,2,2,3,1,2, ,2,3,3,2,2,2,1,2,1,1,3,2,3,2,2,3,2,1,3,3,1,1,1,1,3,1, , ,1, , , , , ,13,13,18,1,2,3,4,4,2,1,1,2,2,2,1,1,1,1, ,3,2,1,1,2,3,1,2,2, ,1,3,1, , , , , , , , , , ,2,1,1,1,2,1,2,2,1,1,1,1,1,1,45, , ,1, ,5,2,1, , , , ,13, ,2,2,1,1,8,2, ,5,4,2,1, , ,1,,,,S,3,37,2,2,5,2,5,1,1,1,2,2,2,2,2,2,1,1,0.683796174408227,0.94,3.615384615384615
201381,2,2,101215,1,1,5,E,1,36,,5, ,1, , , ,2,1,2,1,1,1, ,3,1,9,1, , , ,0,3,1,1,1,2,3,2,1,1, ,1,1,2,1,1,2,2,2,1,1,2,2,3,3,2,3,2,3,2,2,2,3,3,1,2,5, , , , , , , , ,10,10,15,1,2,2,4,4,2,2,1,1,2,2,1,1,1,2, ,2,1,1,1,2,1,3,2,2, ,1,4,1, , , , , , , , , , ,1,1,1,2,2,2, ,2,1,1,1,2,2,1,48, ,1, , ,8,2,1, , , , ,2, ,1,5,3,1,9,2, ,3,3,2,1, , ,1,,,,U,1,36,5,2,4,1,5,1,1,1,2,2,2,2,2,1,1,1,0.683796174408227,0.69,2.6538461538461537
201383,2,2,92815,1,1,4,E,3,21,,1,1, , , , ,2,2,1,1,1,6, , ,1,1,1, , , ,0,3,1,3,1,1,1,2,1, ,1,1,3,3,1,1,1,1,1,2,4,1,1,3,3,1, ,3,3,3,3,3,3, , , , , , , ,1, , , , ,10,5,10, ,2,4,4,4,2, ,2,2,1,2,2,2,2,2,3, ,2, ,3,2,2,1,3,2,4,4,4,2, ,2,2,2,3,1,2, , , , , , , , , , , , , , , , , ,22,1, , , ,3,2,1, , , , ,12, , ,6, , ,3,3,9,9,3,3,2, , ,2,,,,S,3,21,3,9,3,0,1,1,1,1,1,3,3,3,1,1,0,1,1.534390825668926,1.27,4.884615384615384
201388,2,2,92815,1,1,4,E,1,42,,1, ,2, , , ,2,1,2,1,1,1, ,2,1,15,2, , , ,0,2,1,1,1,2,1,3,2,9, ,4,1,2,1,2,2,2,3,2,3,1,2,3,3,1,3,3,3,2,2,2,2,2,1,1,1, , ,1, , , , , ,13,12,13,1,2,1,4,4,2,3,1,2,1,2,1,1,2,1, ,1,1,1,1,2,2,1,4,1, ,1,3,1, , , , , , , , , , ,1,1,1,2,1,1,2,2,1,1,1,1,1,1,58, ,1, , ,3,2,1, , , , ,2, ,2,6,3,1,7,1, ,2,3,2,1, , ,1,,,,U,1,42,4,1,1,1,6,1,1,1,3,2,2,2,2,1,1,1,0.683796174408227,0.73,2.8076923076923075
201407,2,2,92815,1,1,4,E,2,26,,1, ,3, , , ,2,1,3,1,1,1, ,2,2, , ,0,0,2,2,2,1,1,1,2,1,2,1,1, ,1,3,3,2,1,1,1,2,1,2,1,3,3,3,2,2,4,3,3,3,3,3,3,2,1,1, , ,1, , , , , ,15,8,18,4,4,4,4,4,2,3,1,1,2,2,2,1,2,1, ,2,1,1,1,1,1,2,2,2, ,2,3,1, , , , , , , , , , ,2,1,2,2,2,2,1,2,1,1,1,2,2,2,56, , ,1, ,5,2,1, , , , ,2, ,2,3,3,1,9,3,1,2,5,3,3, , ,1,,,,S,2,26,4,1,3,2,6,1,1,1,3,2,2,3,2,2,1,1,0.683796174408227,0.54,2.076923076923077
201424,2,2,92915,1,1,4,E,3,45,,2, ,2, , , ,2,2,3,1,1,6, , ,1,13,2, , , ,0,3,2,3,3,2,1,3,1, ,2,2,1,2,3,2,2,2,2,1,2,1,1,2,3,1,3, , ,3,3,3,3, , ,1,1, , ,1, , , , , ,13,14,14, ,1,3,3,3,4,3,2,2,2,1,2,1,1,2, ,3,2,1,1,1,2,2,2,2, ,1,4,1, , , , , , , , , , ,2,2,1,2,2,2,2, ,1,1,1,2,2,2,48,1, , , ,4,2,2, , , , ,13, ,2,2, , ,2,2, ,3,3,2,2, , ,1,,,,R,3,45,2,2,4,1,5,2,2,2,2,2,2,2,1,1,1,1,0.41071215649162174,0.59,2.269230769230769
201434,2,2,92815,1,1,4,E,1,33,,1, ,3, , , ,2,2,2,1,1,1, ,2,2, , ,0,2,0,2,3,3,1,1,2,2,2,1,1, ,4,2,2,1,3,1,2,2,1,1,3,3,3,2,2,3,2,1,2,3,2,2,3,3,2,1,5, ,1, , , , , ,12,10,15,1,3,3,2,3,3,3,1,2,1,1,1,1,1,1, ,2,1,1,1,2,1,4,2,1, ,1,4,1, , , , , , , , , , ,1,1,2,2,1,2, ,1,1,1,1,1,1,1,41, , ,1, ,8,2,1, , , , ,10, , ,6, , ,8,1, ,3,4,2,1, , ,1,,,,R,1,50,1,1,2,2,4,1,1,1,2,2,2,2,2,2,1,1,0.683796174408227,0.64,2.4615384615384617
201443,2,2,92815,1,1,4,E,3,12,,1,2, , , , ,2,1,3,1,1,3, , ,1,4,2, , , ,0,3,2,2,1,1,1,2,2, ,1,1,1,1,1,1,1,1,1,1,2,1,1,4,4,2, ,2,2,2,3,3,3, , , , , , , ,1,2, , , ,12,7,10, ,1,1,4,4,2, ,2,1,2,2,2,1,2,1,3, ,2, ,1,2,1,2,3,2,1,2,2,2, ,2,2,1,2,1,2,2,2,2, , , , , , , , , , , , , , ,27,1, , , ,3,2,1,2, , , ,12, , ,5, , ,3,4,9,9,2,4,3, , ,1,,,,S,3,12,2,9,9,99,1,4,5,4,1,2,2,3,1,1,1,1,0.41071215649162174,0.51,1.9615384615384615
201470,2,2,101015,1,1,5,E,1,36,,6, ,1, , , ,2,1,2,1,1,4, , ,1,7,1, , , ,0,3,1,3,1,3,1,2,2, ,1,1,3,3,2,1,1,1,1,1,3,1,1,3,3,1,3,2,3,1,3,1,2, , ,2,6, , , , , , , , ,10,10,14, ,3,4,2,4,1,2,2,2,1,1,2,1,2,2, ,4,2,1,3,3,1,1,2,4, ,2,4,1, , , , , , , , , , ,2,1,2,2,1,2, ,2,1,1,1,1,2,1,35,1, , , ,4,2,5, , , , ,12, , ,6, , ,4,4,9,9,2,1,2, , ,2,,,,U,1,36,5,9,9,1,3,4,5,5,2,3,3,1,1,1,0,1,1.534390825668926,2.12,8.153846153846153
201485,2,2,100115,1,1,5,C,3,1,,2,2, , , , ,2,2,1,1,1,6, , ,1,2,2, , , ,0,3,2,1,1,2,2,2,1, ,3,2,3,3,1,1,2,2,2,1,2,2,3,2,2,2, ,3,3,3,1,1,2, , , , , , , ,1, , , , ,13,12,17, ,3,4,4,4,2, ,2,2,2,2,1,2,2,2,3, ,2, ,1,1,1,2,2,2,4,4,3,3, ,2,2,1,5,1,1, , , , , , , , , , , , , , , , , ,20,1, , , ,5,2,1, , , , ,1, ,2,5, , ,3,3,9,2,2,2,2, , ,2,,,,R,3,1,1,9,3,0,1,1,1,1,1,3,3,2,1,1,0,1,1.534390825668926,1.48,5.692307692307692
201506,2,2,92815,1,1,4,C,2,55,,1, ,2, , , ,2,2,2,1,2,1, ,2,1,7,2, , , ,0,3,2,3,1,2,1,3,1,1, ,1,1,2,2,1,1,1,1,1,1,2,2,3,3,2,3,2,3,1,1,3,1,1,1,1,5, , , , , , , , ,12,10,12,2,2,3,3,2,2,3,2,1,2,2,2,1,1,1, ,2,1,1,2,1,2,2,2,3, ,2,3,2, , , , , , , , , , ,1,1,1,1,2,2, ,2,1,1,1,1,2,1,37, ,1, , ,7,2,1, , , , ,2, ,2,3,1,1,6,1, ,2,3,2,1, , ,2,,,,U,2,55,2,1,1,1,3,1,1,1,2,3,3,2,2,1,0,1,1.534390825668926,1.6,6.153846153846154
201508,2,2,101215,1,1,5,C,3,48,,5, , ,1,4, ,2,2,2,1,2,1, ,2,5, , ,1,4,0,2,3,2,3,3,4,1,3,1,1, ,1,1,2,1,1,2,1,2,1,3,2,2,3,3,2,3, , ,3,1,3,3,1,1,1,7, , , , , , , ,3,10,8,13,1,1,1,2,1,3,3,2,1,2,2,1,1,1,1,2,1,2,2,2,2,1,2,9,2,1,1,1,1,1,2,1,2,2,1,2, , , , , , , , , , , , , , , , , ,34, , , ,1,4,2,1, , , , ,1, ,1,1, , ,4,1, ,1,7,2,1, , ,1,,,,R,3,48,1,1,1,5,2,1,1,1,2,2,2,2,2,3,1,1,0.683796174408227,0.62,2.3846153846153846
201517,2,2,92815,1,1,4,C,3,48,,1, ,2, , , ,2,2,3,1,1,1, ,1,1,12,2, , , ,0,2,1,3,3,1,1,3,2,1, ,3,3,3,3,2,2,2,2,2,3,2,1,1,4,2,3, , ,2,2,2,1,1,2,3,1, , ,1, , , , , ,12,8,18,1,4,2,4,1,1,1,1,2,2,1,1,2,1,2, ,1,1,1,2,1,1,4,4,1, ,1,3,1, , , , , , , , , , ,1,1,2,2,2,2, ,1,1,1,1,1,1,1,64, ,1, , ,8,2,1, , , , ,10, , ,5, , ,6,1, ,1,4,3,1, , ,1,,,,S,3,48,2,1,1,1,6,1,1,1,3,2,2,3,2,1,1,1,0.683796174408227,0.43,1.6538461538461537
201519,2,2,92815,1,1,4,C,2,20,,1,3, , , , ,2,2,2,1,1,1, ,2,3, , ,3,0,0,0,3,1,3,1,2,2,2,1,1, ,2,2,2,2,2,3,2,2,2,2,1,1,3,3,1, ,1,4,2,2,2,2,2,2, , , , , ,1, , , , ,13,8,9,2,2,4,4,4,2, ,1,1,1,1,1,2,1,1,4, ,2, ,1,1,1,2,4,1,2,2,1,1, ,2,1,2,1,1,1, , , , , , , , , , , , , , , , , ,26, , , ,2,3,2,1, , , , ,13, ,1,5,1,1,3,1, ,2,5,2,2, , ,2,,,,S,2,20,1,1,1,3,1,1,1,1,1,3,3,2,2,3,0,1,1.534390825668926,0.75,2.8846153846153846
201520,2,2,92815,1,1,4,C,3,1,,1, , ,1,4, ,2,2,1,1,1,1, ,2,4, , ,1,3,0,2,3,1,4,3,5,1,2,1,1, ,4,1,1,3,1,1,1,1,1,1,2,1,2,3,5,3, , ,2,2,2,2,2,3,4,1, , ,1, , , , ,3,15,12,15,4,4,4,4,4,3,3,2,1,2,1,2,3,1,1,4,4,1,1,3,1,1,9,4,2,3,2,4,1,2, , , , , , , , , ,2,1,1,2,1,2, ,2,1,2,2,2,1,2,48, , , ,1,1,2,1, , , , ,1, ,1,2, , ,2,4,9,3,6,2,2, , ,1,,,,U,3,1,2,9,9,4,5,1,1,1,2,2,2,2,2,3,1,1,0.683796174408227,0.58,2.2307692307692304
201549,2,2,92815,1,1,4,C,2,27,,1,3, , , , ,2,2,3,1,1,1, ,2,2, , ,2,0,0,0,3,1,2,1,2,2,2,2,1, ,3,3,2,1,1,4,1,2,2,2,1,1,4,3,2, ,2,9,1,1,3,3,1,1, , , , , ,9, , , , ,11,7,11,3,4,4,4,4,4, ,1,1,1,1,1,1,1,1,4, ,2, ,2,2,2,4,3,3,1,4,3,2, ,1,2,2,1,2, , , , , , , , , , , , , , , , , , ,99, , ,1, ,8,2,1, , , , ,99,9, ,9,3,9,10,4,9,9,4,2,1, , ,1,,,,U,3,48,5,9,9,2,9,1,1,1,9,2,2,2,2,2,1,1,0.683796174408227,0.59,2.269230769230769
201579,2,2,92815,1,1,4,C,3,28,,1, ,1, , , ,2,2,1,1,1,1, ,3,1,13,1, , , ,0,2,2,3,1,2,1,2,1,1, ,1,1,1,1,1,1,1,1,1,1,2,2,3,2,3,3,2,3,2,2,1,2,2,1,1,1,5, ,2, , , , , ,12,10,16,2,2,2,4,4,3,1,1,1,1,1,1,2,1,2, ,2,1,2,2,2,1,1,1,2, ,3,3,1, , , , , , , , , , ,1,1,1,2,2,1,2,1,1,1,1,2,2,2,52, ,1, , ,3,2,1, , , , ,1, ,1,1,3,2,10,1, ,2,3,2,1, , ,2,,,,R,3,28,1,1,1,1,6,1,1,1,3,3,3,2,2,1,0,1,1.534390825668926,1.23,4.730769230769231
201590,2,2,92815,1,1,4,C,2,29,,1, ,3, , , ,2,1,3,1,1,1, ,3,4, , ,0,2,2,2,2,1,1,1,2,1,3,2,1, ,1,1,3,1,2,2,2,1,1,3,1,1,3,4,2,3,4,2,3,3,3,3,3,1,1,1, , ,1, , , , , ,97,97,16,1,2,2,4,3,4,3,2,2,2,2,2,2,2,2, ,1,1,2,3,3,3,2,4,2, ,2,3,1, , , , , , , , , , ,1,1,1,2,2,1,2,2,1,1,2,1,1,1,42, , , ,2,5,2,2, , , , ,1, ,2,2,3,2,7,2, ,9,5,2,1, , ,2,,,,S,3,37,2,2,9,3,4,2,2,2,2,3,3,2,2,3,0,1,1.534390825668926,1.5,5.769230769230769
201620,2,2,92815,1,1,4,E,1,34,,2, , ,1,3, ,2,1,2,1,2,6, , ,2, , ,1,0,1,1,1,2,4,1,4,1,3,2, ,2,1,2,2,1,1,1,1,1,1,1,1,1,2,2,1,3,2,3,3,3,3,3, , ,2,5, , , ,3, , , , ,11,11,11, ,1,3,3,3,3,3,1,1,2,1,2,1,1,1,4,4,1,2,1,1,1,2,2,1,2,1,2,1,1,1,1,2,1,1,2, , , , , , , , , , , , , , , , , ,38,4, , , ,3,1,1, , , ,1,1, ,2,2, , ,5,3,1,2,4,2,2, , ,2,,,,S,1,34,5,1,3,2,3,3,3,1,2,3,3,2,1,2,0,1,1.534390825668926,2.44,9.384615384615383
201626,2,2,92815,1,1,4,E,1,34,,2, , ,1,4, ,2,2,1,1,2,1, ,2,3, , ,1,1,1,2,3,1,1,3,2,1,1,1,1, ,1,3,2,3,1,1,1,2,1,3,1,1,1,3,1,3, , ,1,1,3,3,1,1,1,1, , ,1, , , , ,1,14,12,14,1,1,2,4,2,2,3,1,1,1,3,1,1,1,1,3,1,2,1,1,2,1,2,3,2,1,1,4,1,1,2,1,1,1,1,2,1,1,1, , , , , , , , , , , , , , ,34, , , ,1,3,2,3, , , , ,2, ,2,4, , ,7,2, ,3,5,2,1, , ,1,,,,S,1,34,5,2,4,3,2,4,5,3,2,2,2,2,2,3,1,1,0.683796174408227,0.82,3.1538461538461537
